Month_Year,Hospital_Name,Hospital_ID,Hospital_Department,ReferralType,TotalReferrals
Jan-18,Alliance Medical Charter Medical Radiology,9104,CT,General Referral,7
Jan-18,Alliance Medical Charter Medical Radiology,9104,DXA,General Referral,13
Jan-18,Alliance Medical Charter Medical Radiology,9104,MRI,General Referral,36
Jan-18,Alliance Medical Charter Medical Radiology,9104,Ultrasound,General Referral,22
Jan-18,Alliance Medical Charter Medical Radiology,9104,X-Ray,General Referral,27
Jan-18,Alliance Medical Clane Hospital Radiology,9105,CT,General Referral,10
Jan-18,Alliance Medical Clane Hospital Radiology,9105,DXA,General Referral,2
Jan-18,Alliance Medical Clane Hospital Radiology,9105,MRI,General Referral,68
Jan-18,Alliance Medical Clane Hospital Radiology,9105,Ultrasound,General Referral,21
Jan-18,Alliance Medical Clane Hospital Radiology,9105,X-Ray,General Referral,1
Jan-18,Alliance Medical Mater Private Cork Radiology,9116,Cardiac Calcium Scoring,General Referral,5
Jan-18,Alliance Medical Mater Private Cork Radiology,9116,CT,General Referral,13
Jan-18,Alliance Medical Mater Private Cork Radiology,9116,MRI,General Referral,97
Jan-18,Alliance Medical Mater Private Cork Radiology,9116,Ultrasound,General Referral,56
Jan-18,Alliance Medical Mater Private Cork Radiology,9116,X-Ray,General Referral,12
Jan-18,Alliance Medical Mercy Hospital MRI Cork,9114,MRI,General Referral,3
Jan-18,Alliance Medical Merlin Park CT and MRI,9106,MRI,General Referral,28
Jan-18,Alliance Medical MRI Bons Secours Hospital Tralee,9113,MRI,General Referral,77
Jan-18,Alliance Medical MRI Centre Ballinasloe,9107,MRI,General Referral,55
Jan-18,Alliance Medical MRI Centre Clonmel,9108,MRI,General Referral,6
Jan-18,Alliance Medical MRI Centre Drogheda,9111,MRI,General Referral,36
Jan-18,Alliance Medical MRI Centre Tullamore,9109,MRI,General Referral,11
Jan-18,Alliance Medical MRI Consultant Private Clinic CUH,9112,MRI,General Referral,16
Jan-18,Alliance Medical St Francis Mullingar,9110,DXA,General Referral,16
Jan-18,Alliance Medical St Francis Mullingar,9110,MRI,General Referral,30
Jan-18,Alliance Medical St Francis Mullingar,9110,Ultrasound,General Referral,12
Jan-18,Alliance Medical St Francis Mullingar,9110,X-Ray,General Referral,1
Jan-18,Bantry General Hospital,704,Gastro-Enterology,General Referral,19
Jan-18,Bantry General Hospital,704,General Medicine,General Referral,35
Jan-18,Bantry General Hospital,704,General Surgery,General Referral,48
Jan-18,Bantry General Hospital,704,Geriatric Medicine,General Referral,3
Jan-18,Bantry General Hospital,704,Outreach Dermatology,General Referral,13
Jan-18,Bantry General Hospital,704,Outreach Orthopaedics,General Referral,5
Jan-18,Bantry General Hospital,704,Outreach Surgical,General Referral,14
Jan-18,Barringtons Bon Secours Diagnostic Imaging,9115,DXA,General Referral,9
Jan-18,Barringtons Bon Secours Diagnostic Imaging,9115,MRI,General Referral,104
Jan-18,Beaumont Hospital,923,Beaumont Breast Clinic,Breast Clinic Referral,277
Jan-18,Beaumont Hospital,923,Beaumont Lung Clinic,Lung Cancer Referral,8
Jan-18,Beaumont Hospital,923,Beaumont Prostate Clinic,Prostate Cancer Referral,11
Jan-18,Beaumont Hospital,923,Cardiology,General Referral,59
Jan-18,Beaumont Hospital,923,Clinical Immunology,General Referral,12
Jan-18,Beaumont Hospital,923,Dermatology,General Referral,92
Jan-18,Beaumont Hospital,923,Endocrinology,General Referral,36
Jan-18,Beaumont Hospital,923,Endoscopy Beaumont Hospital,Endoscopy Referral,20
Jan-18,Beaumont Hospital,923,Gastro-Enterology,General Referral,80
Jan-18,Beaumont Hospital,923,General Surgery,General Referral,83
Jan-18,Beaumont Hospital,923,Geriatric Medicine,General Referral,27
Jan-18,Beaumont Hospital,923,Gynaecology,General Referral,26
Jan-18,Beaumont Hospital,923,Haematology,General Referral,14
Jan-18,Beaumont Hospital,923,Infectious Diseases,General Referral,1
Jan-18,Beaumont Hospital,923,Nephrology,General Referral,12
Jan-18,Beaumont Hospital,923,Neurology,General Referral,56
Jan-18,Beaumont Hospital,923,Neurosurgery,General Referral,48
Jan-18,Beaumont Hospital,923,Oncology,General Referral,3
Jan-18,Beaumont Hospital,923,Ophthalmology,General Referral,13
Jan-18,Beaumont Hospital,923,Orthopaedics,General Referral,66
Jan-18,Beaumont Hospital,923,Otolaryngology (ENT),General Referral,118
Jan-18,Beaumont Hospital,923,Pain Relief,General Referral,17
Jan-18,Beaumont Hospital,923,Plastic Surgery,General Referral,63
Jan-18,Beaumont Hospital,923,Respiratory Medicine,General Referral,33
Jan-18,Beaumont Hospital,923,Rheumatology,General Referral,38
Jan-18,Beaumont Hospital,923,Urology,General Referral,68
Jan-18,Beaumont Hospital,923,Vascular Surgery,General Referral,34
Jan-18,Cappagh National Orthopaedic Hospital,955,Orthopaedics,General Referral,86
Jan-18,Cappagh National Orthopaedic Hospital,955,Rheumatology,General Referral,4
Jan-18,Cavan Monaghan Hospital,402,Ante-Natal,General Referral,33
Jan-18,Cavan Monaghan Hospital,402,Dermatology,General Referral,19
Jan-18,Cavan Monaghan Hospital,402,General Medicine,General Referral,84
Jan-18,Cavan Monaghan Hospital,402,General Surgery,General Referral,176
Jan-18,Cavan Monaghan Hospital,402,Gynaecology,General Referral,47
Jan-18,Cavan Monaghan Hospital,402,Haematology,General Referral,3
Jan-18,Cavan Monaghan Hospital,402,Neurology,General Referral,10
Jan-18,Cavan Monaghan Hospital,402,Orthopaedics,General Referral,44
Jan-18,Cavan Monaghan Hospital,402,Otolaryngology (ENT),General Referral,34
Jan-18,Cavan Monaghan Hospital,402,Paediatrics,General Referral,41
Jan-18,Charter Medical,9120,Medicine for the Elderly,General Referral,1
Jan-18,Connolly Hospital,108,Cardiology,General Referral,23
Jan-18,Connolly Hospital,108,Dermatology,General Referral,35
Jan-18,Connolly Hospital,108,Endocrinology,General Referral,15
Jan-18,Connolly Hospital,108,Gastro-Enterology,General Referral,64
Jan-18,Connolly Hospital,108,General Surgery,General Referral,62
Jan-18,Connolly Hospital,108,Geriatric Medicine,General Referral,5
Jan-18,Connolly Hospital,108,Gynaecology,General Referral,13
Jan-18,Connolly Hospital,108,Haematology,General Referral,6
Jan-18,Connolly Hospital,108,Nephrology,General Referral,4
Jan-18,Connolly Hospital,108,Ophthalmology,General Referral,7
Jan-18,Connolly Hospital,108,Orthopaedics,General Referral,77
Jan-18,Connolly Hospital,108,Otolaryngology (ENT),General Referral,21
Jan-18,Connolly Hospital,108,Plastic Surgery,General Referral,19
Jan-18,Connolly Hospital,108,Respiratory Medicine,General Referral,29
Jan-18,Connolly Hospital,108,Rheumatology,General Referral,19
Jan-18,Connolly Hospital,108,Urology,General Referral,41
Jan-18,Coombe Women & Infants University Hospital,930,Gynaecology,General Referral,75
Jan-18,Cork University Hospital,724,Cardiology,General Referral,59
Jan-18,Cork University Hospital,724,Cardio-Thoracic Surgery,General Referral,1
Jan-18,Cork University Hospital,724,CUH Referral Centre,Breast Clinic Referral,406
Jan-18,Cork University Hospital,724,CUH Referral Centre,Lung Cancer Referral,22
Jan-18,Cork University Hospital,724,CUH Referral Centre,Prostate Cancer Referral,20
Jan-18,Cork University Hospital,724,Diabetes Mellitus,General Referral,5
Jan-18,Cork University Hospital,724,Endocrinology,General Referral,17
Jan-18,Cork University Hospital,724,Gastro-Enterology,General Referral,34
Jan-18,Cork University Hospital,724,General Surgery,General Referral,49
Jan-18,Cork University Hospital,724,Geriatric Medicine,General Referral,17
Jan-18,Cork University Hospital,724,Maxillo-Facial,General Referral,4
Jan-18,Cork University Hospital,724,Nephrology,General Referral,9
Jan-18,Cork University Hospital,724,Neurology,General Referral,51
Jan-18,Cork University Hospital,724,Neurosurgery,General Referral,62
Jan-18,Cork University Hospital,724,Ophthalmology,General Referral,76
Jan-18,Cork University Hospital,724,Paediatric Endocrinology,General Referral,4
Jan-18,Cork University Hospital,724,Paediatric Medicine,General Referral,61
Jan-18,Cork University Hospital,724,Paediatric Neurology,General Referral,1
Jan-18,Cork University Hospital,724,Paediatric Respiratory Medicine,General Referral,6
Jan-18,Cork University Hospital,724,Plastic Surgery,General Referral,43
Jan-18,Cork University Hospital,724,Respiratory Medicine,General Referral,30
Jan-18,Cork University Hospital,724,Rheumatology,General Referral,33
Jan-18,Cork University Hospital,724,Urology,General Referral,35
Jan-18,Cork University Hospital,724,Vascular Surgery,General Referral,18
Jan-18,Cork University Maternity Hospital,725,Gynaecology,General Referral,121
Jan-18,County Clinic Longford,9103,General Surgery,General Referral,26
Jan-18,County Clinic Longford,9103,Gynaecology,General Referral,3
Jan-18,County Clinic Longford,9103,Obstetrics,General Referral,7
Jan-18,County Clinic Longford,9103,Paediatrics,General Referral,4
Jan-18,Kerry General Hospital,726,Cardiology,General Referral,30
Jan-18,Kerry General Hospital,726,Dermatology,General Referral,35
Jan-18,Kerry General Hospital,726,Diabetes Mellitus,General Referral,3
Jan-18,Kerry General Hospital,726,Endocrinology,General Referral,13
Jan-18,Kerry General Hospital,726,General Medicine,General Referral,31
Jan-18,Kerry General Hospital,726,General Surgery,General Referral,297
Jan-18,Kerry General Hospital,726,Geriatric Medicine,General Referral,9
Jan-18,Kerry General Hospital,726,Gynaecology,General Referral,65
Jan-18,Kerry General Hospital,726,Neurology,General Referral,14
Jan-18,Kerry General Hospital,726,Orthopaedics,General Referral,127
Jan-18,Kerry General Hospital,726,Otolaryngology (ENT),General Referral,53
Jan-18,Kerry General Hospital,726,Paediatrics,General Referral,33
Jan-18,Kerry General Hospital,726,Plastic Surgery,General Referral,7
Jan-18,Kerry General Hospital,726,Renal,General Referral,2
Jan-18,Kerry General Hospital,726,Rheumatology,General Referral,11
Jan-18,Kingsbridge Private Hospital Sligo,9102,Anaesthesia / Pain Management,General Referral,5
Jan-18,Kingsbridge Private Hospital Sligo,9102,Cardiology,General Referral,11
Jan-18,Kingsbridge Private Hospital Sligo,9102,Dermatology,General Referral,30
Jan-18,Kingsbridge Private Hospital Sligo,9102,Endocrinology,General Referral,3
Jan-18,Kingsbridge Private Hospital Sligo,9102,Endoscopy,General Referral,4
Jan-18,Kingsbridge Private Hospital Sligo,9102,ENT,General Referral,24
Jan-18,Kingsbridge Private Hospital Sligo,9102,Gastroenterology,General Referral,15
Jan-18,Kingsbridge Private Hospital Sligo,9102,General Surgery,General Referral,36
Jan-18,Kingsbridge Private Hospital Sligo,9102,Geriatrician,General Referral,3
Jan-18,Kingsbridge Private Hospital Sligo,9102,Gynaecology,General Referral,2
Jan-18,Kingsbridge Private Hospital Sligo,9102,Neurosurgery,General Referral,1
Jan-18,Kingsbridge Private Hospital Sligo,9102,Ophthalmology,General Referral,3
Jan-18,Kingsbridge Private Hospital Sligo,9102,Orthopaedics,General Referral,10
Jan-18,Kingsbridge Private Hospital Sligo,9102,Paediatrician,General Referral,4
Jan-18,Kingsbridge Private Hospital Sligo,9102,Plastic Surgery,General Referral,5
Jan-18,Kingsbridge Private Hospital Sligo,9102,Radiology,General Referral,4
Jan-18,Kingsbridge Private Hospital Sligo,9102,Ultrasound,General Referral,10
Jan-18,Kingsbridge Private Hospital Sligo,9102,Urology,General Referral,15
Jan-18,Letterkenny University Hospital,500,Antenatal,General Referral,58
Jan-18,Letterkenny University Hospital,500,Cardiology,General Referral,24
Jan-18,Letterkenny University Hospital,500,Colorectal,General Referral,15
Jan-18,Letterkenny University Hospital,500,Colposcopy,General Referral,6
Jan-18,Letterkenny University Hospital,500,Day Services,General Referral,44
Jan-18,Letterkenny University Hospital,500,Dermatology,General Referral,38
Jan-18,Letterkenny University Hospital,500,Endocrinology,General Referral,7
Jan-18,Letterkenny University Hospital,500,Gastro-Enterology,General Referral,17
Jan-18,Letterkenny University Hospital,500,General Medicine,General Referral,23
Jan-18,Letterkenny University Hospital,500,General Surgery,General Referral,44
Jan-18,Letterkenny University Hospital,500,Gynaecology,General Referral,33
Jan-18,Letterkenny University Hospital,500,Haematology,General Referral,8
Jan-18,Letterkenny University Hospital,500,Letterkenny Breast Unit,Breast Clinic Referral,97
Jan-18,Letterkenny University Hospital,500,Nephrology,General Referral,5
Jan-18,Letterkenny University Hospital,500,Neurology,General Referral,4
Jan-18,Letterkenny University Hospital,500,Ophthalmology,General Referral,18
Jan-18,Letterkenny University Hospital,500,Oral Surgery,General Referral,7
Jan-18,Letterkenny University Hospital,500,Orthopaedics,General Referral,47
Jan-18,Letterkenny University Hospital,500,Otolaryngology (ENT),General Referral,63
Jan-18,Letterkenny University Hospital,500,Paediatrics,General Referral,29
Jan-18,Letterkenny University Hospital,500,Respiratory Medicine,General Referral,11
Jan-18,Letterkenny University Hospital,500,Rheumatology,General Referral,4
Jan-18,Letterkenny University Hospital,500,Urodynamics,General Referral,2
Jan-18,Letterkenny University Hospital,500,Urology,General Referral,13
Jan-18,Letterkenny University Hospital,500,X-Ray,General Referral,1
Jan-18,Louth County Hospital,400,Endocrinology,General Referral,9
Jan-18,Louth County Hospital,400,General Medicine,General Referral,13
Jan-18,Louth County Hospital,400,General Surgery,General Referral,45
Jan-18,Louth County Hospital,400,Gynaecology,General Referral,29
Jan-18,Louth County Hospital,400,Minor Operations,General Referral,21
Jan-18,Louth County Hospital,400,Orthopaedics,General Referral,54
Jan-18,Louth County Hospital,400,Paediatrics,General Referral,8
Jan-18,Louth County Hospital,400,Urology,General Referral,10
Jan-18,Mallow General Hospital,703,General Medicine,General Referral,59
Jan-18,Mallow General Hospital,703,General Surgery,General Referral,107
Jan-18,Mallow General Hospital,703,Otolaryngology (ENT),General Referral,51
Jan-18,Mater Private Drogheda Outreach Clinic,9065,Cardiology,General Referral,2
Jan-18,Mater Private Drogheda Outreach Clinic,9065,ENT,General Referral,1
Jan-18,Mater Private Hospital Cork,9062,Cardiology,General Referral,13
Jan-18,Mater Private Hospital Cork,9062,Dermatology,General Referral,1
Jan-18,Mater Private Hospital Cork,9062,Emergency Department,General Referral,3
Jan-18,Mater Private Hospital Cork,9062,Endocrinology,General Referral,1
Jan-18,Mater Private Hospital Cork,9062,Gastroenterology,General Referral,14
Jan-18,Mater Private Hospital Cork,9062,General Surgery,General Referral,9
Jan-18,Mater Private Hospital Cork,9062,Gynaecology,General Referral,5
Jan-18,Mater Private Hospital Cork,9062,Ophthalmic Surgery,General Referral,5
Jan-18,Mater Private Hospital Cork,9062,Orthopaedic Surgery,General Referral,12
Jan-18,Mater Private Hospital Cork,9062,Pain Medicine,General Referral,2
Jan-18,Mater Private Hospital Cork,9062,Plastic Surgery,General Referral,6
Jan-18,Mater Private Hospital Cork,9062,Rheumatology,General Referral,5
Jan-18,Mater Private Hospital Cork,9062,Spinal Surgery,General Referral,3
Jan-18,Mater Private Hospital Cork,9062,Urology,General Referral,10
Jan-18,Mater Private Hospital Cork,9062,Vascular Surgery,General Referral,1
Jan-18,Mater Private Hospital Dublin,9060,Breast Imaging/TAC,Breast Clinic Referral,45
Jan-18,Mater Private Hospital Dublin,9060,Breast Imaging/TAC,General Referral,1
Jan-18,Mater Private Hospital Dublin,9060,Breast Surgery,General Referral,1
Jan-18,Mater Private Hospital Dublin,9060,Cardiology – Arrhythmia service,General Referral,4
Jan-18,Mater Private Hospital Dublin,9060,Cardiology - Consultant clinics,General Referral,26
Jan-18,Mater Private Hospital Dublin,9060,Emergency Department,General Referral,1
Jan-18,Mater Private Hospital Dublin,9060,Gastroenterology,General Referral,18
Jan-18,Mater Private Hospital Dublin,9060,Gynaecology,General Referral,3
Jan-18,Mater Private Hospital Dublin,9060,Haematology,General Referral,1
Jan-18,Mater Private Hospital Dublin,9060,Heart & Vascular,General Referral,2
Jan-18,Mater Private Hospital Dublin,9060,Orthopaedic and Spine,General Referral,7
Jan-18,Mater Private Hospital Dublin,9060,Orthopaedics,General Referral,2
Jan-18,Mater Private Hospital Dublin,9060,Prostate Direct Access,Prostate Cancer Referral,2
Jan-18,Mater Private Hospital Dublin,9060,Radiology,General Referral,14
Jan-18,Mater Private Hospital Dublin,9060,Respiratory,General Referral,3
Jan-18,Mater Private Hospital Dublin,9060,Same Day Appt – ENT,General Referral,13
Jan-18,Mater Private Hospital Dublin,9060,Same Day Appt – General/Colorect,General Referral,2
Jan-18,Mater Private Hospital Dublin,9060,Spine,General Referral,2
Jan-18,Mater Private Hospital Dublin,9060,Urology,General Referral,10
Jan-18,Mater Public Hospital,908,Cardiac/Thoracic Surgery,General Referral,1
Jan-18,Mater Public Hospital,908,Cardiology - Rapid Chest Pain,General Referral,28
Jan-18,Mater Public Hospital,908,Colorectal Surgery,General Referral,17
Jan-18,Mater Public Hospital,908,Dermatology,General Referral,81
Jan-18,Mater Public Hospital,908,Diabetic/Endocrinology,General Referral,18
Jan-18,Mater Public Hospital,908,ENT Surgery,General Referral,46
Jan-18,Mater Public Hospital,908,Gastroenterology,General Referral,89
Jan-18,Mater Public Hospital,908,Gen Med/Cardiology,General Referral,31
Jan-18,Mater Public Hospital,908,Gen/Vas Surgery,General Referral,30
Jan-18,Mater Public Hospital,908,General Surgery,General Referral,41
Jan-18,Mater Public Hospital,908,Geriatrics,General Referral,14
Jan-18,Mater Public Hospital,908,Gynaecology,General Referral,7
Jan-18,Mater Public Hospital,908,Haematology,General Referral,8
Jan-18,Mater Public Hospital,908,Hepatology,General Referral,8
Jan-18,Mater Public Hospital,908,Infectious Diseases,General Referral,4
Jan-18,Mater Public Hospital,908,Mater Lung Clinic,Lung Cancer Referral,26
Jan-18,Mater Public Hospital,908,Mater Prostate Clinic,Prostate Cancer Referral,24
Jan-18,Mater Public Hospital,908,Mater Public Breast Unit,Breast Clinic Referral,389
Jan-18,Mater Public Hospital,908,Nephrology,General Referral,10
Jan-18,Mater Public Hospital,908,Neurology,General Referral,32
Jan-18,Mater Public Hospital,908,Ophthalmology,General Referral,54
Jan-18,Mater Public Hospital,908,Orthopaedic,General Referral,67
Jan-18,Mater Public Hospital,908,Pain Medicine,General Referral,13
Jan-18,Mater Public Hospital,908,Plastic Surgery,General Referral,30
Jan-18,Mater Public Hospital,908,Psychiatry,General Referral,6
Jan-18,Mater Public Hospital,908,Respiratory Med,General Referral,31
Jan-18,Mater Public Hospital,908,Rheumatology,General Referral,17
Jan-18,Mater Public Hospital,908,Urology,General Referral,48
Jan-18,Mayo University Hospital,802,Dermatology,General Referral,9
Jan-18,Mayo University Hospital,802,Diabetes Mellitus,General Referral,1
Jan-18,Mayo University Hospital,802,General Medicine,General Referral,66
Jan-18,Mayo University Hospital,802,General Surgery,General Referral,94
Jan-18,Mayo University Hospital,802,Gynaecology,General Referral,52
Jan-18,Mayo University Hospital,802,Obstetrics,General Referral,39
Jan-18,Mayo University Hospital,802,Orthopaedics,General Referral,97
Jan-18,Mayo University Hospital,802,Otolaryngology (ENT),General Referral,30
Jan-18,Mayo University Hospital,802,Paediatrics,General Referral,53
Jan-18,Mayo University Hospital,802,Urology,General Referral,7
Jan-18,Mercy University Hospital,913,Cardiology,General Referral,26
Jan-18,Mercy University Hospital,913,Gastro-Enterology,General Referral,56
Jan-18,Mercy University Hospital,913,Gastro-Intestinal Surgery,General Referral,10
Jan-18,Mercy University Hospital,913,General Medicine,General Referral,5
Jan-18,Mercy University Hospital,913,General Surgery,General Referral,35
Jan-18,Mercy University Hospital,913,Geriatric Medicine,General Referral,10
Jan-18,Mercy University Hospital,913,Haematology,General Referral,10
Jan-18,Mercy University Hospital,913,Hepato-Biliary Surgery,General Referral,4
Jan-18,Mercy University Hospital,913,Infectious Diseases,General Referral,1
Jan-18,Mercy University Hospital,913,Neurology,General Referral,12
Jan-18,Mercy University Hospital,913,Paediatric Neurology,General Referral,4
Jan-18,Mercy University Hospital,913,Paediatrics,General Referral,29
Jan-18,Mercy University Hospital,913,Pain Relief,General Referral,8
Jan-18,Mercy University Hospital,913,Radiology,General Referral,475
Jan-18,Mercy University Hospital,913,Respiratory Medicine,General Referral,38
Jan-18,Mercy University Hospital,913,Urology,General Referral,76
Jan-18,Mercy University Hospital,913,Vascular Surgery,General Referral,35
Jan-18,Merlin Park University Hospital,801,Radiology,General Referral,39
Jan-18,Merrion Fertility Clinic,9117,Gynaecology,General Referral,1
Jan-18,Merrion Fertility Clinic,9117,Reproductive Medicine,General Referral,1
