Month_Year,Hospital_Name,Hospital_ID,Hospital_Department,Referraltype,TotalReferrals
Jan-21,A. Covid 19 Testing Service,9191,Covid-19 Testing Service,Covid-19 Testing Referral,275230
Jan-21,A. Covid 19 Testing Service,9191,Prison Inmate,General Referral,1823
Jan-21,A. Covid 19 Testing Service,9191,Resident in Residential Care Facility,General Referral,10860
Jan-21,Adult & Child Dermatology Northbrook,9193,Dermatology,General Referral,9
Jan-21,Alex Stafford - Medical Diagnostic Ultrasound,9174,Cahercalla Ultrasound,General Referral,6
Jan-21,Alex Stafford - Medical Diagnostic Ultrasound,9174,Ultrasound Limerick,General Referral,85
Jan-21,Alliance Medical Briarhill Galway,9181,X-Ray,General Referral,20
Jan-21,Alliance Medical Charter Medical Radiology,9104,CT,General Referral,249
Jan-21,Alliance Medical Charter Medical Radiology,9104,DXA,General Referral,87
Jan-21,Alliance Medical Charter Medical Radiology,9104,MRI,General Referral,1010
Jan-21,Alliance Medical Charter Medical Radiology,9104,Ultrasound,General Referral,181
Jan-21,Alliance Medical Charter Medical Radiology,9104,X-Ray,General Referral,466
Jan-21,Alliance Medical Cherrywood Dublin,9126,MRI,General Referral,151
Jan-21,Alliance Medical Cherrywood Dublin,9126,X-Ray,General Referral,18
Jan-21,Alliance Medical Clane Hospital Radiology,9105,CT,General Referral,121
Jan-21,Alliance Medical Clane Hospital Radiology,9105,DXA,General Referral,46
Jan-21,Alliance Medical Clane Hospital Radiology,9105,MRI,General Referral,447
Jan-21,Alliance Medical Clane Hospital Radiology,9105,Ultrasound,General Referral,243
Jan-21,Alliance Medical Clane Hospital Radiology,9105,X-Ray,General Referral,66
Jan-21,Alliance Medical Mercy University Hospital,9114,MRI,General Referral,3
Jan-21,Alliance Medical Merlin Park CT and MRI,9106,CT,General Referral,46
Jan-21,Alliance Medical Merlin Park CT and MRI,9106,MRI,General Referral,151
Jan-21,Alliance Medical Mitchelstown,9184,DEXA,General Referral,13
Jan-21,Alliance Medical Mitchelstown,9184,Ultrasound,General Referral,50
Jan-21,Alliance Medical Mitchelstown,9184,X-Ray,General Referral,61
Jan-21,Alliance Medical MRI Bons Secours Hospital Tralee,9113,MRI,General Referral,346
Jan-21,Alliance Medical MRI Centre Ballinasloe,9107,MRI,General Referral,178
Jan-21,Alliance Medical MRI Centre Clonmel,9108,MRI,General Referral,137
